T [K] - Wyniki	P [W] - Wyniki	T [K] - Krzywa dopasowania	P [W] - Krzywa dopasowania	
		1984,38	0,00175269	
		1985,38	0,0017562	
		1986,38	0,00175972	
		1987,38	0,00176324	
		1988,38	0,00176676	
		1989,38	0,00177029	
		1990,38	0,00177383	
		1991,38	0,00177737	
		1992,38	0,00178092	
		1993,38	0,00178447	
		1994,38	0,00178802	
		1995,38	0,00179159	
		1996,38	0,00179515	
		1997,38	0,00179873	
		1998,38	0,0018023	
		1999,38	0,00180589	
		2000,38	0,00180948	
		2001,38	0,00181307	
		2002,38	0,00181667	
		2003,38	0,00182027	
		2004,38	0,00182388	
		2005,38	0,0018275	
		2006,38	0,00183112	
		2007,38	0,00183475	
		2008,38	0,00183838	
		2009,38	0,00184201	
		2010,38	0,00184566	
		2011,38	0,0018493	
		2012,38	0,00185296	
		2013,38	0,00185662	
		2014,38	0,00186028	
		2015,38	0,00186395	
		2016,38	0,00186762	
		2017,38	0,0018713	
		2018,38	0,00187499	
		2019,38	0,00187868	
		2020,38	0,00188238	
		2021,38	0,00188608	
		2022,38	0,00188978	
		2023,38	0,0018935	
		2024,38	0,00189722	
		2025,38	0,00190094	
		2026,38	0,00190467	
		2027,38	0,0019084	
		2028,38	0,00191214	
		2029,38	0,00191589	
		2030,38	0,00191964	
		2031,38	0,0019234	
		2032,38	0,00192716	
		2033,38	0,00193092	
		2034,38	0,0019347	
		2035,38	0,00193848	
		2036,38	0,00194226	
		2037,38	0,00194605	
		2038,38	0,00194984	
		2039,38	0,00195365	
		2040,38	0,00195745	
		2041,38	0,00196126	
		2042,38	0,00196508	
		2043,38	0,0019689	
		2044,38	0,00197273	
		2045,38	0,00197656	
		2046,38	0,0019804	
		2047,38	0,00198425	
		2048,38	0,0019881	
		2049,38	0,00199196	
		2050,38	0,00199582	
		2051,38	0,00199969	
		2052,38	0,00200356	
		2053,38	0,00200744	
		2054,38	0,00201132	
		2055,38	0,00201521	
		2056,38	0,00201911	
		2057,38	0,00202301	
		2058,38	0,00202691	
		2059,38	0,00203083	
		2060,38	0,00203474	
		2061,38	0,00203867	
		2062,38	0,0020426	
		2063,38	0,00204653	
		2064,38	0,00205047	
		2065,38	0,00205442	
		2066,38	0,00205837	
		2067,38	0,00206233	
		2068,38	0,00206629	
		2069,38	0,00207026	
		2070,38	0,00207424	
		2071,38	0,00207822	
		2072,38	0,0020822	
		2073,38	0,00208619	
		2074,38	0,00209019	
		2075,38	0,0020942	
		2076,38	0,0020982	
		2077,38	0,00210222	
		2078,38	0,00210624	
		2079,38	0,00211027	
		2080,38	0,0021143	
		2081,38	0,00211834	
		2082,38	0,00212238	
		2083,38	0,00212643	
		2084,38	0,00213048	
		2085,38	0,00213455	
		2086,38	0,00213861	
		2087,38	0,00214268	
		2088,38	0,00214676	
		2089,38	0,00215085	
		2090,38	0,00215494	
		2091,38	0,00215903	
		2092,38	0,00216313	
		2093,38	0,00216724	
		2094,38	0,00217136	
		2095,38	0,00217547	
		2096,38	0,0021796	
		2097,38	0,00218373	
		2098,38	0,00218787	
		2099,38	0,00219201	
		2100,38	0,00219616	
		2101,38	0,00220031	
		2102,38	0,00220447	
		2103,38	0,00220864	
		2104,38	0,00221281	
		2105,38	0,00221699	
		2106,38	0,00222117	
		2107,38	0,00222536	
